1-167,1,"Spring Garden",,3
2-167,2,"Wedgewood",,3
4-167,4,"Rosedale",,3
5-167,5,"Chebucto",,3
6-167,6,"Quinpool",,3
7-167,7,"Robie",,3
9-167,9,"Barrington",,3
10-167,10,"Dalhousie",,3
11-167,11,"Dockyard",,3
14-167,14,"Leiblin Park",,3
15-167,15,"Purcell's Cove",,3
16-167,16,"Parkland",,3
17-167,17,"Saint Mary's",,3
18-167,18,"Universities",,3
19-167,19,"Greystone",,3
20-167,20,"Herring Cove",,3
21-167,21,"Lakeside / Timberlea",,3
22-167,22,"Armdale / Mumford",,3
23-167,23,"Timberlea / Mumford",,3
31-167,31,"Main Express",,3
32-167,32,"Cowie Hill Express",,3
33-167,33,"Tantallon Express",,3
34-167,34,"Glenbourne Express",,3
35-167,35,"Parkland Express",,3
41-167,41,"Dartmouth - Dalhousie",,3
42-167,42,"Lacewood - Dalhousie",,3
51-167,51,"Windmill",,3
52-167,52,"Crosstown",,3
53-167,53,"Notting Park",,3
54-167,54,"Montebello",,3
55-167,55,"Port Wallace",,3
56-167,56,"Dartmouth Crossing",,3
57-167,57,"Russell Lake",,3
58-167,58,"Woodlawn",,3
59-167,59,"Colby",,3
60-167,60,"Eastern Passage / Heritage Hills",,3
61-167,61,"Auburn - North Preston",,3
62-167,62,"Wildwood",,3
63-167,63,"Woodside",,3
64-167,64,"Akerley",,3
65-167,65,"Caldwell",,3
66-167,66,"Penhorn",,3
68-167,68,"Cherrybrook",,3
72-167,72,"Portland Hills",,3
78-167,78,"Wildwood Express",,3
79-167,79,"Cole Harbour Express",,3
80-167,80,"Sackville",,3
81-167,81,"Hemlock Ravine",,3
82-167,82,"Millwood",,3
83-167,83,"Springfield",,3
84-167,84,"Glendale Express",,3
85-167,85,"Downsview Express",,3
86-167,86,"Basinview Express",,3
87-167,87,"Glendale",,3
88-167,88,"Bedford Commons",,3
89-167,89,"Bedford",,3
90-167,90,"Larry Uteck",,3
159-167,159,"Portland Hills LINK",,3
185-167,185,"Sackville LINK",,3
320-167,320,"Airport / Fall River",,3
330-167,330,"Tantallon",,3
370-167,370,"Porters Lake MetroX",,3
400-167,400,"Beaver Bank",,3
401-167,401,"Porters Lk, E.Preston, G.Desert",,3
402-167,402,"Sambro",,3
cp1-167,cp1,"Clayton Park Jr High",,3
ecrl-167,ecrl,"RLTC Employee's Coach",,3
ecs-167,ecs,"BTC Employee's Coach",,3
FerD-154,FerD,"Dart / Hfx Ferry (Alderney)",,4
FerW-154,FerW,"Dart / Hfx Ferry (Woodside)",,4
fv01-167,fv01,"Fairview Jr High Sch",,3
hwst-167,hwst,"Halifax West High Sch",,3
s14-167,s14,"Cunard Jr High Sch (noon)",,3
sp14-167,sp14,"Cunard Jr High Sch",,3
sp53-167,sp53,"Dartmouth High Sch",,3
sp58-167,sp58,"Prince Andrew High Sch",,3
sp6-167,sp6,"Citadel High Sch",,3
sp65-167,sp65,"Astral Jr High Sch",,3
