block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_3512056,FerW-154,1,FERRY TO HALIFAX,FerW0004,2014_11N-14NferWD-Weekday-01,12253836-2014_11N-14NferWD-Weekday-01
b_3543689,6-168,1,6 STONEHAVEN,60016,2014_11N-201411BR-Sunday-02,12418814-2014_11N-201411BR-Sunday-02
a_3539521,61-175,1,61 PORTLAND STREET TO AUBURN- N. PRESTON,610129,2014_08A-201408BR-Sunday-05,12392392-2014_08A-201408BR-Sunday-05
a_3539818,62-175,0,62 BRIDGE TERMINAL VIA MANOR PARK,620046,2014_08A-201408BR-Saturday-05,12394268-2014_08A-201408BR-Saturday-05
b_3510175,82-168,1,82 MILLWOOD,820002,2014_11N-201411BR-Weekday-10,12240695-2014_11N-201411BR-Weekday-10
b_3543450,90-168,1,90 LARRY UTECK VIA BEDFORD HWY,900073,2014_11N-201411BR-Saturday-02,12417968-2014_11N-201411BR-Saturday-02
b_3510394,59-168,1,59 PORTLAND STREET TO PORTLAND HILLS,590197,2014_11N-201411BR-Weekday-10,12242520-2014_11N-201411BR-Weekday-10
b_3542920,58-168,0,58 BRIDGE TERMINAL,580020,2014_11N-201411BR-Weekday-02,12411318-2014_11N-201411BR-Weekday-02
a_3065505,FerD-154,1,FERRY TO HALIFAX,FerD0007,2014_08A-14MferWD-Weekday-01,10389483-2014_08A-14MferWD-Weekday-01
a_3539526,60-175,0,60 BRIDGE TERMINAL,600043,2014_08A-201408BR-Sunday-05,12392657-2014_08A-201408BR-Sunday-05
b_3510202,7-168,0,7 ROBIE,70024,2014_11N-201411BR-Weekday-10,12238938-2014_11N-201411BR-Weekday-10
b_3510175,82-168,0,82 MILLWOOD,820087,2014_11N-201411BR-Weekday-10,12240704-2014_11N-201411BR-Weekday-10
b_3542865,1-168,1,1 SPRING GARDEN TO BRIDGE TERMINAL,10024,2014_11N-201411BR-Weekday-02,12414458-2014_11N-201411BR-Weekday-02
